SERVICO_OU_PRODUTO,RAZAO_SOCIAL,NOME_FANTASIA,TELEFONE,EMAIL,UF,CIDADE,ENDERECO,CNPJ,SITE,CNAE,PORTIFÓLIO,NOTA
Edições,Erica Guerra Mendeiros Bravo,Erica Guerra Fotografia e Design,(81) 9 9621 - 0053,ericaguerram@gmail.com,PE,Olinda,"Rua Prefeito Luis de Magalhaes, 393 - Peixinhos",31.598.245/0001-96,-,"74.20-0-01 - Atividades de produção de fotografias, exceto aérea e submarina",,
Edições de dados ,CIVVIE LTDA,CIVVIE,(81) 3093-7386,TIAGO@CIVVIE.COM.BR,PE,Recife,"R DO FUTURO, 564, 52.050-005 - GRACAS",27.378.955/0001-33,-,73.19-0-03 - Marketing direto,,
Edições de dados ,ANA GABRIELA BORGES DOS SANTOS VICTOR 08899044481,GABRIELA BORGES DESIGNER,(81) 9746-2232,ANAGABIX@HOTMAIL.COM,PE,Caruaru,"R DOM SEBASTIAO LEME, 67, APT 1504, 55.012-360 - MAURICIO DE NASSAU",41.066.912/0001-43,-,"58.19-1-00 - Edição de cadastros, listas e de outros produtos gráficos",,
Edições de dados ,PEDRO MUNIZ DE CINTRA 06418942442,PEDRO MUNIZ,(81) 9722-6232,REQUESTPEDROMUNIZ@GMAIL.COM,PE,Recife,"R AMAPA, 77, APT 403, 52.050-390 - AFLITOS",34.663.238/0001-19,-,18.21-1-00 - Serviços de pré-impressão,,
Manutençao Predial,ETI- Empresa de Tecnologia em Informática LTDA,,(81) 3441 - 4447,sneto@etiweb.com.br,PE,Recife,"Rua Chacon, 274, sala 410 - Poço da Panela",11.965.860/0001-86,-,71.12-0-00 - Serviços de engenharia,,
Manutençao Predial,LL Manutençao e Engenharia LTDA,LL Manutençao e Engenharia LTDA,(81) 9 9910 - 7802,luizjatorres@gmail.com,PE,Recife,"Rua Abelardo, 45, 52050-310 - Graças",27.831.944/0001-67,-,33.14-7-07 - Manutenção e reparação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial,,
Manutençao Predial,PRONET Tecnologia e Engenharia LTDA,PRONET,(81)3213-1795|1796/1797/1798,comercial@pronete-pe.com.br,PE,Recife,"Rua Tomazina, 121, Loja 0000, 50.030-020 - Bairro do Recife",40.849.143/0001-97,-,"62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação",,
Manutençao Predial,ZERO UM-INFORMATICA ENGENHARIA E REPRESENTAÇOES LTDA,-,-,-,PE,Recife,"R MANOEL CAETANO, 103, APTO 02 PRIM PAVIM, 52.010-220 - DERBY",40.873.234/0001-68,-,61.10-8-03 - Serviços de comunicação multimídia - SCM,,
Material - (Limpeza),DISFA - DISTRIBUIDORA FACIL LTDA,DisFá - Distribuidora Fácil,(81) 3077-2589,disfa@disfa.com.br | ERICKA@DISFA.COM.BR,PE,Recife,"Rua Visconde de Barbacena, 1a travessa, 50740-441 - Varzea",11.142.529/0001-66,-,"46.49-4-08 - Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",,
Material - (Limpeza),FORTPEL COMERCIO DE DESCARTAVEIS LTDA,FORTPEL,(81) 9 9452 - 3957,vendas06.pe@fortpel.com.br,PE,Paulista,"R DA LINHA, 3770, GALPAO02 03, 53.405-640 - MIRUEIRA",22.006.201/0001-39,-,"46.49-4-08 - Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",Link,
Material - (Limpeza),R.A.Produtos e Equipamentos de Limpeza LTDA,Shopping do Condominio,(81) 37272 - 0790 ,caruaru@shoppingdocondominio.net.br,PE,Caruaru,"Rua Paranaiba, 51º - Mauricio de Nassau",13.714.064/0001-04,-,"47.72-5-00 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",,
Mentores e Facilitadores,A. L. C. DA COSTA SOLUCOES EM TECNOLOGIA,PROAPP PLATAFORMA DE GESTAO,(81) 8699-2280/ (81) 3252-1039,andersonlagocc@gmail.com,PE,Recife ,"R ERNESTO DE PAULA SANTOS, 960, SALA 0102 EMP BOA VIAGEM, 51.021-330 - BOA VIAGEM",36.891.519/0001-54,-,"62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação (Dispensada *)",,
Mentores e Facilitadores,Cultive Soluções Culturais Ltda ,Cult!ve,(87) 988218382,andre@cultivesolucoes.com.br,PE,Recife,,10.230.480/0019-60,-,"74.90-1-99 - Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",,
Mentores e Facilitadores,Ferreira Costa,-,(81) 996975333,anielemarquess@gmail.com,PE,Caruaru/Recife,-,-,-,74102/99,,
Mentores e Facilitadores,BARBARA BORGES DA SILVA 09782164402,LOJA PHINK IT & CASIA ECO,(81) 988516080,barbara.barbara.borges@gmail.com,PE,Recife,"R CINCO DE MAIO, 61, 51.170-490 - IMBIRIBEIRA",30.562.684/0001-86,-,47.81-4-00 - Comércio varejista de artigos do vestuário e acessórios,,
Mentores e Facilitadores,LEGAL4B PROTECAO DE DADOS E COMPLIANCE DIGITAL LTDA,LEGAL4B,(83) 98797-0481, babifelix28@gmail.com,PE,Recife,"R DONA MARIA CESAR, 170, SALA 0203, 50.030-140 - RECIFE",40.185.569/0001-93,-,62.04-0-00 - Consultoria em tecnologia da informação,,
Mentores e Facilitadores,Creditas,-,(81) 99688-3044,blesmanneto@gmail.com,PE,Recife,-,-,-,-,,
Mentores e Facilitadores,-,-,(81) 994394419,rol.cavalcanti02@gmail.com,SP,São Paulo ,-,-,-,-,,
Mentores e Facilitadores,CATIA M S MACIEL,INSER GESTAO,(81) 991811964 / (81) 998505098 ,catiamaciel.adm@gmail.com,PE,Caruaru,"AV VIGILANTE RODOVIARIO, 130, 55.014-553 - NOVA CARUARU",07.162.200/0001-90,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
Mentores e Facilitadores,LOVECRYPTO TECNOLOGIA DA INFORMACAO LTDA,Lovecrypto,(81) 992859289,chris.berenguer@ufpe.br,PE,Recife,"R DONA MARIA CESAR, 170, SALA 0203, 50.030-140 - RECIFE",26.203.327/0001-54,-,66.19-3-99 - Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,,
Mentores e Facilitadores,CHRISTIANNE AMARAL MACHADO 06199109414,CHADO CONSULTORIA DE MARCAS,(81) 981281844,chado.consultoria@gmail.com,PE,Recife,-,37400000000000,-,Treinamento em desenvolvimento profissional e gerencial,Link,
Mentores e Facilitadores,Syngenta,-,(81) 981159904,crhislanyb@gmail.com,PE,Petrolina,-,60.744.463/0062,-,-,,
Mentores e Facilitadores,DANIEL GALVAO BRENNAND 03406692419,CONECTJUR,(11) 980724156,danielbrennand@gmail.com,PE,Caruaru,"AV PROJETADA 01 S/N, KM 92, 55.014-908 - NOVA CARUARU",44.085.037/0001-35,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
Mentores e Facilitadores,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,-,(81) 999254449,eder.leao@ufrpe.br,PE,Recife,"R DOM MANOEL DE MEDEIROS, S/N, 52.171-900 - DOIS IRMAOS",24.416.174/0001-06,-,84.11-6-00 - Administração pública em geral,,
Mentores e Facilitadores,N-Level Academy,-,(81) 985010028,athenegps@gmail.com,PB,Campina Grande,-,29300000000000,-,8599-6/04 treinamento e desenvolvimento profissional,,
Mentores e Facilitadores,CESAR CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE,CESAR CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE,(81) 99871-2888,elvmm@cesar.org.br,PE,Recife,-,01.203.327/0005-57,-,6204000: CONSULTORIA EM TECNOLOGIA DA INFORMAÇÃO,,
Mentores e Facilitadores,Facilitat,-,(81) 99227 - 6794,fabio.serrano@facilitat.com.br,PE,Olinda,-,32200000000000,-,-,,
Mentores e Facilitadores,Galvão Soluções Empresariais,-,(81) 98354 - 1511,geysakarlagalvao@gmail.com,PE,Recife,-,31200000000000,-,Treinamento em Desenvolvimento Profissional e Gerencial,,
Mentores e Facilitadores,GIRLAYNNE DANUSIA FARIAS PEREIRA 01552802442,-,(81) 99784 - 4703,girlaynnedanusia@gmail.com,PE,Caruaru,"R DOM SEVERINO VIEIRA DE MELO, 16, 55.002-970 - NOSSA SENHORA DAS DORES",42.495.265/0001-58,-,85.99-6-99 - Outras atividades de ensino não especificadas anteriormente,,
Mentores e Facilitadores,PICPAY INSTITUICAO DE PAGAMENTO S/A,PICPAY,(27) 3180-0382,NFE@PICPAY.COM,SP,São Paulo,"AV MANUEL BANDEIRA, 291, COND ATLAS OFFICE PARK ANDAR 1A 2A 3A 3B CONJ 22A 23A 43B 44B, 05.317-020 - VILA LEOPOLDINA",22.896.431/0001-10,-,66.19-3-99 - Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente,,
Mentores e Facilitadores,REEF COWORKING SOLUCOES DE APOIO ADMINISTRATIVO PARA NEGOCIOS LTDA,REEF COWORKING + SPACES,(81) 8114-7649,REEFCOWORKING@GMAIL.COM,PE,Recife,"R DONA MARIA CESAR, 170, SALA 0203, 50.030-140 - RECIFE",36.401.889/0001-66,-,82.11-3-00 - Serviços combinados de escritório e apoio administrativo (Dispensada *),,
Mentores e Facilitadores,Israel Bovolini Junior Tecnologia da Informação ,AgileIT,(81) 99631 - 3505,ibovolini@gmail.com,SP,São Paulo ,-,31000000000000,-,-,,
Mentores e Facilitadores,Tamboo,-,(81) 99874 - 6385,jacquetamboo@gmail.com,PE,Recife ,-,23500000000000,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
Mentores e Facilitadores,JACQUELINE DE SOUZA FREIRE PESQUISAS LTDA,DIP - DADOS INFORMACOES E PESQUISAS,(81) 98864 - 3683,jac.dipestraregia@gmail.com,PE,Recife,"R ERNESTO DE PAULA SANTOS, 1172, SALA 0605 EMP NESTOR ROCHA, 51.021-330 - BOA VIAGEM",00.377.711/0001-80,-,"63.11-9-00 - Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",,
Mentores e Facilitadores,JHCM Consulting & Mentoring,-,(81) 99921 - 7948,Jhenrique@jhconsultoriacomercial.com.br,PE,Jaboatão dos Guararapes ,-,39400000000000,-,Consultoria,,
Mentores e Facilitadores,Rogério Mello Design,-,(81) 982731773,jrogeriomello7@hotmail.com,PE,Santa Cruz do Capibaribe,-,45500000000000,-,Alfaiate,,
Mentores e Facilitadores,44.383.526 JULIENE ALVES DOS SANTOS,JULIENE ALVES DOS SANTOS,(81) 982731773,juliene.alves@live.com,PE,Paulista,"R LIMOEIRO, 126, 53.417-320 - ARTUR LUNDGREN I",44.383.526/0001-73,-,95.11-8-00 - Reparação e manutenção de computadores e de equipamentos periféricos,,
Mentores e Facilitadores,FACILITAT TECNOLOGIA DA INFORMACAO E MANUTENCAO PREDIAL LTDA,-,(81) 991614535 | (81) 3877-8300,kasantosadm@gmail.com | FACILITAT@FACILITAT.COM.BR,PE,Recife,"R MARQUES AMORIM, 136, 50.070-335 - BOA VISTA",32.160.505/0001-00,-,"62.09-1-00 - Suporte técnico, manutenção e outros serviços em tecnologia da informação",,LAST
Mentores e Facilitadores,Inser Gestão,-,-,karlacastroadm@gmail.com,PE,Caruaru,-,8983562455,-,-,,
Mentores e Facilitadores,Mestranda e Pesquisadora,-,(81) 996447304,klb@cesar.school,PE,Recife,-,-,-,-,,
Mentores e Facilitadores,LARISSA CRISTINA NUNES NASCIMENTO ALVES INTEGRE PSICOLOGIA E SAUDE,INTEGRE PSICOLOGIA E SAUDE,(81) 997249090 | (81) 9631-3505,larissaalvespsicologa@gmail.com,PE,Caruaru,"AV AGAMENON MAGALHAES, 1019, ANDAR 2;SALA 207, 55.014-000 - MAURICIO DE NASSAU",44.739.965/0001-76,-,86.50-0-03 - Atividades de psicologia e psicanálise (Dispensada *),,
Mentores e Facilitadores,Granpag,-,(81) 98851136,lucas@granpag.com.br,PE,Passira,-,27600000000000,https://granpag.com.br,7490-1/04,,
Mentores e Facilitadores,POWER ,Empreendedorismo Feminino,(81) 997500165,manudubeux@gmail.com,PE,Recife,-,37200000000000,-,Educação,,
Mentores e Facilitadores,MARIA EDUARDA FERREIRA DA SILVA CARVALHO 09690568426 ,Recicultura,(81) 994654145,mariaeduarda.fsc@hotmail.com,PE,Recife,-,35600000000000,-,85.92-9/99 - Ensino de arte e cultura não especificado anteriormente,,
Mentores e Facilitadores,Startup Style,-,(81) 99761.2624,natalia.maria866@gmail.com,PE,Belo Jardim,-,12300000000,-,,,
Mentores e Facilitadores,Style,-,(81) 996402189,natalia.maria866@gmail.com,PE,Belo Jardim,-,12300000000,-,4789001,,
Mentores e Facilitadores,AGENCIA DE DESENVOLVIMENTO ECONOMICO DE PERNAMBUCO S.A - ADEPE,ADEPE,(87) 999671452 | (81) 3181-7320/ (81) 3181-7351,marianasaaless@gmail.com | ADDIPER@ADDIPER.PE.GOV.BR,PE,Recife,"AV CONS ROSA E SILVA, 000347, 52.020-220 - GRACAS",10.848.646/0001-87,-,84.11-6-00 - Administração pública em geral,,
Mentores e Facilitadores,-,-,(81) 97823046,-,-,-,-,-,-,-,,
Mentores e Facilitadores,Ymbu digtalk,,(81) 996500930,mychjacob2@gmail.com,PE,Olinda,-,909270,-,Consultoria e treinamentos,,
Mentores e Facilitadores,Natália C Pimentel 06447972400 ,Natália Pimentel Marketing,(81) 998225341,natalia-pimentel@hotmail.com,PE,Caruaru,-,26500000000000,-,Marketing Direto,,
Mentores e Facilitadores,NATALIE SILVA DOS SANTOS ARAUJO 04403313400,MALU CURSOS,(81) 987295724 | (81) 8851-1936,natalie_silva3101@hotmail.com | NATALIE.3101@GMAIL.COM,PE,Recife,"R FRANCISCO DE BARROS BARRETO, 193, CASA, 51.021-550 - BOA VIAGEM",40.911.827/0001-71,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
Mentores e Facilitadores,NP Comunicação e imprensa,-,(81) 99971129,nubiapautas@gmail.com,PE,Caruaru,-,35800000000000,-,-,,
Mentores e Facilitadores,OLUYIA FRANCA DE MORAIS 06779800430 ,Oluyia design,(81) 984378400,oluyia@gmail.com,PE,Recife,-,36900000000000,-,1359-6/00,,
Mentores e Facilitadores,3MIDIAS COMUNICACAO E CONSULTORIA LTDA,3 MÍDIAS,(81) 98838-4967 | (81) 3221-1660,patynogueiras@gmail.com | ERLANJOHN@3MIDIAS.COM.BR,PE,Recife,"R ROCHA PITA, 156, 50.040-030 - SANTO AMARO",19.393.491/0001-06,-,"70.20-4-00 - Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica",,
Mentores e Facilitadores,Espaço Numen,-,(31) 9 9696-6129,priscilabezerra26@gmail.com,PE,Camocim de São Félix ,-,5990916493,-,-,,
Mentores e Facilitadores,PRISCILLA SHIRLEY DE SANTANA PEREIRA CAVALCANTI - 09037561454 ,INTERATIVA ASSESSORIA E GESTÃO EM MARKETING,(81) 996656310,priscilacavalcaanti@gmail.com,PE,Recife,-,26700000000000,-,7319-0/02 Promoção de vendas,,
Mentores e Facilitadores,Traço e Ato Reformas e Construções,-,(81) 994933210,rafhamelo.arq@gmail.com,PE,São Lourenço da Mata,-,43300000000000,-,4399-1/03 - Obras de alvenaria,,
Mentores e Facilitadores,CESAR CENTRO DE ESTUDOS E SISTEMAS AVANCADOS DO RECIFE,-,(81) 99253-9630  / (79) 99911-4360 ,raisagalindo@gmail.com,PE,Recife,-,1203327000557,-,-,,
Mentores e Facilitadores,RANIELE DUARTE DA SILVA 06365910428 ,RANI DUARTE,(81) 99723-3744 | (81) 9822-5341,raniduarte@gmail.com,PE,Recife,"R CARNEIRO PESSOA, 617, 51.011-070 - PINA",44.585.900/0001-13,-,85.92-9-99 - Ensino de arte e cultura não especificado anteriormente,Link,
Mentores e Facilitadores,Escola Maria Auxiliadora liberato,-,(81) 992093637,becal5304@gmail.com,PE,Caruaru,-,-,-,-,,
Mentores e Facilitadores,Contrate Express,-,(81) 998057417 - (81) 973138813,Inovarcaruaru@gmail.com,PE,Caruaru,-,4197521456,-,-,,
Mentores e Facilitadores,-,-,87999316018,renatabrasileiroux@gmail.com,PE,Recife,-,-,-,-,,
Mentores e Facilitadores,"Oliveira, Ventura & Beltrão Advogados ",OVB Advogados,81981752349,renata@ovb.adv.br,PE,Recife,-,22100000000000,-,-,,
Mentores e Facilitadores,"Instituto Pelo Bem do Planeta, Ecoponto e RiaArtPhoto",-,81 992188720,ricardimabrahao@gmail.com,PE,Recife,-,21100000000000,-,Associação privada para conservação ambiental,,
Mentores e Facilitadores,SALA DE AULA EMPREENDEDORA LTDA,SALA DE AULA EMPREENDEDORA,81 991320423,tenaflae@gmail.com,PE,Caruaru,"AV ADJAR DA SILVA CASE, 800, CXPST 030 COWORKING, 55.024-740 - INDIANOPOLIS",40.250.733/0001-07,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,Link,
Mentores e Facilitadores,TERTULIANO RODRIGUES PEREIRA 00538677180,LABORATORIO DE SACADAS,81997844703,tertuliano@labdesacadas.com.br,SP,Mogi Guaçu,"R JOSE ROBERTO ASSENCO, 400, BLOCO 20;APT 401, 13.848-100 - JARDIM NOVO II",43.829.484/0001-99,-,73.19-0-02 - Promoção de vendas,,
Mentores e Facilitadores,Iupi,-,81994298487,thaisagtavares@gmail.com,PE,Recife,-,29700000000000,-,7319003,,
Mentores e Facilitadores,FBR Digital,-,81999555855,thiago@fbrdigital.com.br,PE,Caruaru,-,13900000000000,-,60.10-8-03 Serviços de comunicação multimídia - SCM,,
Mentores e Facilitadores,Interser ,Cursos e Treinamentos,81999823395,virginiavlins@gmail.com,PE,Santa Cruz do Capibaribe,-,24400000000000,-,8599604 Treinamento em desenvolvimento profissional e gerencial,,
Mentores e Facilitadores,WCTM Serviço de Tecnologia LTDA ,Gymtime,81 998577033,wladimilsonb@gmail.com,PE,Jaboatão dos Guararapes,-,41100000000000,-,63-19-4-00,,
Mentores e Facilitadores,KATANA SOFTWARE,-,81996669989,charleu@hotmail.com,PE,Arcoverde,-,42100000000000,-,Desenvolvimento de programas de computador sob encomenda,,
Mentores e Facilitadores,SOCIEDADE DE EDUCACAO DO VALE DO IPOJUCA LTDA,UNIFAVIP,(81) 9 9690-5800 | (81) 3136-2356,diegolcunha@gmail.com | FISCAL@ESTACIO.BR,PE,Caruaru,"R GUMERCINDO PEREIRA DOS SANTOS, 800, 55.024-743 - INDIANOPOLIS",02.738.361/0001-65,-,85.32-5-00 - Educação superior - graduação e pós-graduação,Link,
Mentores e Facilitadores,"HORTENCIA SANTIAGO TREINAMENTOS, CONSULTORIAS, MENTORIAS",-,81987964690,contato@hortenciasantiago.com,PE,Caruaru,-,46800000000000,-,instrutora de treinamentos e cursos gerenciais,,
Mentores e Facilitadores,Ferreira Costa,-,81981491551,anielemarquess@gmail.com,PE,Recife,-,8243234403,-,-,,
Mentores e Facilitadores,KARINA CASSIA COSTA DOS SANTOS 07115421471,KARINA SANTOS,994483016 | (81) 9784-4703,kasantosadm@gmail.com,PE,Recife,"AV NORTE MIGUEL ARRAES DE ALENCAR, 6960, CASA B;ANDAR 1, 52.090-260 - MACAXEIRA",41.587.209/0001-80,-,82.19-9-99 - Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,,LAST
Mentores e Facilitadores,UFPE (sou docente em tecnologia de interfaces),-,81997322231,luciana.freire@ufpe.br,PE,Caruaru,-,-,-,Educação,,
Mentores e Facilitadores,Krialab,-,21988503103,diannegsous@hotmail.com,PE,Recife,-,21000000000000,-,8599-6/04,,
Mentores e Facilitadores,Aleixo Assessoria Jurídica,-,81988398998,gemiscelies@gmail.com,PE,Caruaru,-,-,-,-,,
Mentores e Facilitadores,Conexão Papo de Mulher,-,5583986183265,eduardamenelau@gmail.com,PE,Recife,-,29500000000000,https://www.eduardamenelau.com.br/,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
Mentores e Facilitadores,PraqVender,-,491634035218,vitor@praqvender.com.br,PE,Recife,-,32700000000000,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
Mentores e Facilitadores,PEDRO VINICIUS SIMAS GUEDES SERVICOS EDUCACIONAIS,GOON DESIGN E EDUCACAO,81 99120-6335 | (81) 9888-8888,danielle@sejagoon.com | ADL@GMAIL.COM,PE,Recife,"AV MONTEVIDEU, 172, SALA 1206 EMPRES DESEMB PEDRO MARTINIANO LINS, 50.050-250 - BOA VISTA",33.482.821/0001-60,-,"85.50-3-02 - Atividades de apoio à educação, exceto caixas escolares",,
Mentores e Facilitadores,CMA - REPRESENTACOES E CONSULTORIA LTDA,CMA - REPRESENTACOES E CONSULTORIA,081 994186740 | (81) 8149-1551,carolmartinsoff@gmail.com | MAMASSESSORIACONTABILPE@GMAIL.COM,PE,Olinda,"AV GOV CARLOS DE LIMA CAVALCANTI, 3995, LJ 030, 53.130-555 - CASA CAIADA",25.226.839/0001-73,-,73.19-0-03 - Marketing direto (Dispensada *),,
Mentores e Facilitadores,Vl assessoria contabil,-,81 999966241/ 9 81648519,viviane_lucena_v@hotmail.com,PE,Caruaru,-,-,-,-,,
Mentores e Facilitadores,Não possui nenhuma organização,-,87999502226,evellynamorim06@gmail.com,PE,Caruaru,-,-,-,-,,
Mentores e Facilitadores,Tcc.assessoria_acadêmica,-,-,lima2008cristiane@gmail.com,PE,Caruaru,-,-,-,-,,
Mentores e Facilitadores,RING - Associação de Desenvolvedores de Jogos do Estado do Rio de Janeiro,-,-,sousa.annyc@gmail.com,PE,Recife,-,47700000000000,-,-,,
Mentores e Facilitadores,Silvana Ribeiro,-,-,silefernanda@gmail.com,PE,Cabo de Santo Agostinho,-,18900000000000,-,-,,
Mentores e Facilitadores,Daniela Georgia,-,-,danielageorgia@yahoo.com.br,PE,Caruaru,-,48200000000000,-,8219-9/99 - Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente,,
Mentores e Facilitadores,Roxius Consultoria Digital LTDA,-,-,eduardo@roxius.com.br,,Alemanha,-,42500000000000,-,70.20-4-00,,
Mentores e Facilitadores,JACIENDE DE LIMA SANTOS 13186629403,JACYMODELART,(81) 3726-4849,jaciendelima@gmail.com,PE,Belo jardim,"R JOAO BATISTA SENHORINHO, 79A, CASA, 55.152-553 - COHAB-LL",28.925.887/0001-48,-,85.92-9-99 - Ensino de arte e cultura não especificado anteriormente,,
Mentores e Facilitadores,Box Fashion,-,-,rodolfoalves1989@gmail.com,PE,Santa Cruz do Capibaribe,-,27400000000000,-,-,,
Mentores e Facilitadores,ALICE FERREIRA DO NASCIMENTO MACIEL 05891401401,GIRASSOL FACILITACOES,(81) 9996-6241,alicefnmaciel@gmail.com,PE,Caruaru,"R VISCONDE DE INHAUMA, 450, 55.012-010 - MAURICIO DE NASSAU",48.362.053/0001-89,-,"58.19-1-00 - Edição de cadastros, listas e de outros produtos gráficos",,
Mentores e Facilitadores,NeverBreak Game Studio ,PlayLudy ,-,mateusantos33@gmail.com,PE,Arcoverde,-,9837397497,-,Tecnologia/entretenimento,,
Mentoria - ( MMA),33.392.186 ALEXANDRA CISNEIROS GUERRA,ALEXANDRA CISNEIROS GUERRA,(81) 8592-5862,XANDACISNEIROS@GMAIL.COM,PE,Jaboatão dos Guararapes,"R MAJOR MEDICO VICENTE FONSECA DE MATOS, 399, ANDAR 103, 54.440-370 - CANDEIAS",33.392.186/0001-20,-,"82.30-0-01 - Serviços de organização de feiras, congressos, exposições e festas",,
Mentoria - ( MMA),AMAZING MODEL LTDA,AMAZING MODEL,(81) 9835-1010,VIVIANI@AMAZINGMODEL.COM.BR | financeiro@amazingmodel.com.br,PE,Recife,"AV RIO BRANCO, 139, 50.030-310 - RECIFE",04.708.738/0001-69,-,"74.90-1-05 - Agenciamento de profissionais para atividades esportivas, culturais e artísticas",,
Mentoria - ( MMA),MIRELLY DE OLIVEIRA SILVA 05335309466,MADAH PRODUÇÕES,(81) 9531-4848,MIRELLYOS@GMAIL.COM,PE,Caruaru,"R SAO CARLOS, 173, 55.030-300 - PETROPOLIS",31.038.775/0001-80,-,"82.30-0-01 - Serviços de organização de feiras, congressos, exposições e festas",,
"Mentoria - (""on demand"" MVP e Pitch)","HAPPEN DESENVOLVIMENTO DE SOFTWARE, TREINAMENTO E CURSOS LTDA",HAPPEN ESCOLA DE HABILIDADES,(81) 9526-7570,COMERCIAL@ESCOLAHAPPEN.COM.BR,PE,Recife,"AV RIO BRANC, 139, 50.030-310 - RECIFE",40.706.759/0001-09,-,62.02-3-00 - Desenvolvimento e licenciamento de programas de computador customizáveis,,
Oficina -  (Qualificação empreendedora),BETTINA CAVALCANTI ARAUJO 10309407460,BCA TECNOLOGIA,(81) 9512-3444,BCA@ECOMP.POLI.BR,PE,Recife,"TV TEREZA CARNEIRO, 85, 52.090-506 - MACAXEIRA",41.917.346/0001-36,-,85.99-6-03 - Treinamento em informática,,
Oficina -  (Qualificação empreendedora),GRITE SOLUCOES EMPRESARIAIS LTDA,GRITE SOLUCOES,(81) 9412-4665,-,PE,Recife,"R DONA MARIA CESAR, 170, SALA 0203 CXPST 002, 50.030-140 - RECIFE",40.159.625/0001-15,-,62.01-5-01 - Desenvolvimento de programas de computador sob encomenda,,
"Oficina - (Alinhamento Societário e Contratos, LGPD, e Registro de Marcas e Patentes)",COLARES ADVOGADOS,-,(81) 9633-9884,RODRIGO@COLARESLAW.COM.BR,PE,Recife,"R SENADOR JOSE HENRIQUE, 231, SALA 605 EMP CHARLES DARWIN, 50.070-460 - ILHA DO LEITE",35.471.789/0001-43,-,69.11-7-01 - Serviços advocatícios,,
"Oficina - (Alinhamento Societário e Contratos, LGPD, e Registro de Marcas e Patentes)","OLIVEIRA, VENTURA & BELTRAO ADVOGADOS",-,(81) 8838-4967,RENATA@OVB.ADV.BR,PE,Recife,"AV REPUBLICA DO LIBANO, 251, SALA 1810, 51.110-160 - PINA",22.083.557/0001-76,https://www.ovb.adv.br/,69.11-7-01 - Serviços advocatícios,Link,
"Oficina - (Alinhamento Societário e Contratos, LGPD, e Registro de Marcas e Patentes)",UCHOA CAVALCANTI ADVOGADOS ASSOCIADOS,-,(81) 3441-0143/ (81) 3441-0149,ALEXANDRE@UCHOACAVALCANTI.ADV.BR,PE,Recife,"AV ABDIAS DE CARVALHO, 1111, SALA 402 EDIF EMP ELPIDIO MARTINS, 50.720-225 - PRADO",13.563.899/0001-00,-,69.11-7-01 - Serviços advocatícios,,
Oficina - (Crescimento e Impacto),OPEN EDUCACAO LTDA,ESCOLA OPEN,(41) 9 9509 - 0716,contato@escolaopen.com.br,PR,Curitiba,"Rua Garuva, 25, 81240-200 - Cidade Industrial",25.408.134/0001-77,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
"Oficina - (Eixo de Impacto - Mudança, ODS e ses negócios e Métricas)",MARCIEL MUNIZ DOS SANTOS 09328103657,MKT3 COMUNICACAO E MARKETING DIGITAL,(81) 8762 - 8646,marcielmuniz@hotmail.com,PE,Caruaru,"Avenida OswaldO Cruz, 217, Andar 6, Sala 611, 55012-040 - Maurício de Nassau",32.591.227/0001-45,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
"Oficina - (Eixo de Impacto - Mudança, ODS e ses negócios e Métricas)",OPEN EDUCACAO LTDA,ESCOLA OPEN,(41) 3209-5554 | (41) 3209-5554,suporte@contabilizei.com.br,PR,Curitiba,"Rua Garuva, 25, 81240-200 - Cidade Industrial",25.408.134/0001-77,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
"Oficina - (Eixo de Impacto - Mudança, ODS e ses negócios e Métricas)",ROMENA SOUZA CONCEIÇÃO DE MELO 034.567.832-11,-,-,esgcontatobj@gmail.com,PE,Belo Jardim,"Avenida ARMÍNIO BARROS LEITE, 88, FLORESTA",328.945.342/0001,-,-,,
